COUNTRYCODE,YEAR,TERTIARYCOMPLETIONRATE,EDUCATIONGDPSHARE,NOBELLAUREATES,PATENTFILINGS
POL,1890,0.1,,,
PRT,1890,0.2,,,100.0
PRY,1890,0.0,,,
REU,1890,0.0,,,
ROU,1890,0.0,,,
RUS,1890,0.1,,,
SDN,1890,0.0,,,
SEN,1890,0.0,,,
SLE,1890,0.0,,,
SLV,1890,0.0,,,
SRB,1890,0.0,,,
SWE,1890,0.2,,,873.0
SWZ,1890,0.0,,,
SYR,1890,0.0,,,
TGO,1890,0.0,,,
THA,1890,0.0,,,
TTO,1890,0.0,,,
TUN,1890,0.0,,,20.0
TUR,1890,0.0,,,
TWN,1890,0.0,,,
UGA,1890,0.0,,,
URY,1890,0.2,,,
USA,1890,2.2,,,39884.0
VEN,1890,0.0,,,
YEM,1890,0.0,,,
ZAF,1890,0.0,,,
ZMB,1890,0.0,,,
ZWE,1890,0.0,,,
ARG,1891,,,,176.0
AUT,1891,,,,4665.0
BEL,1891,,,,4467.0
BRA,1891,,,,442.0
CAN,1891,,,,3233.0
CHE,1891,,,,1553.0
DEU,1891,,,,12919.0
ESP,1891,,,,1211.0
FRA,1891,,,,9546.0
GBR,1891,,,,15484.0
GBR,1891,,,,7404.0
IND,1891,,,,33.0
IND,1891,,,,314.0
ITA,1891,,,,2163.0
JPN,1891,,,,1288.0
NOR,1891,,,,551.0
PRT,1891,,,,105.0
SWE,1891,,,,941.0
TUN,1891,,,,17.0
USA,1891,,,,39418.0
ARG,1892,,,,208.0
AUT,1892,,,,4898.0
BEL,1892,,,,5068.0
CAN,1892,,,,3176.0
CHE,1892,,,,1802.0
DEU,1892,,,,13126.0
ESP,1892,,,,1276.0
FRA,1892,,,,10182.0
GBR,1892,,,,16274.0
GBR,1892,,,,7897.0
IND,1892,,,,22.0
IND,1892,,,,314.0
ITA,1892,,,,2248.0
JPN,1892,,,,1344.0
NOR,1892,,,,556.0
NZL,1892,,,,606.0
PRT,1892,,,,96.0
SWE,1892,,,,1004.0
TUN,1892,,,,26.0
USA,1892,,,,39514.0
ARG,1893,,,,238.0
AUT,1893,,,,5572.0
BEL,1893,,,,5098.0
BRA,1893,,,,151.0
CAN,1893,,,,2614.0
CHE,1893,,,,1847.0
DEU,1893,,,,14265.0
ESP,1893,,,,1200.0
FRA,1893,,,,10162.0
GBR,1893,,,,17075.0
GBR,1893,,,,8045.0
IND,1893,,,,22.0
IND,1893,,,,353.0
ITA,1893,,,,2219.0
JPN,1893,,,,1337.0
NOR,1893,,,,615.0
NZL,1893,,,,625.0
PRT,1893,,,,89.0
SWE,1893,,,,1036.0
TUN,1893,,,,23.0
USA,1893,,,,37293.0
ARG,1894,,,,204.0
AUT,1894,,,,4945.0
BEL,1894,,,,5566.0
CAN,1894,,,,3291.0
CHE,1894,,,,1949.0
DEU,1894,,,,14964.0
DNK,1894,,,,625.0
ESP,1894,,,,1478.0
FRA,1894,,,,10792.0
GBR,1894,,,,17319.0
GBR,1894,,,,8067.0
HUN,1894,,,,2525.0
IND,1894,,,,32.0
IND,1894,,,,343.0
ITA,1894,,,,2460.0
JPN,1894,,,,1250.0
NOR,1894,,,,675.0
NZL,1894,,,,756.0
PRT,1894,,,,86.0
SWE,1894,,,,1386.0
TUN,1894,,,,35.0
USA,1894,,,,36987.0
AFG,1895,0.0,,,
AFR,1895,0.0060804305,,,
ALB,1895,0.0,,,
AMN,1895,2.2097628,,,
AMS,1895,0.0733641,,,
ARG,1895,0.2,,,285.0
ASI,1895,0.0048646363,,,
AUS,1895,0.1,,,
AUT,1895,1.3,,,5633.0
BEL,1895,0.7,,,5720.0
BEN,1895,0.0,,,
BGD,1895,0.0,,,
BGR,1895,0.2,,,
BLZ,1895,0.0,,,
BOL,1895,0.1,,,
BRA,1895,0.0,,,
BRB,1895,0.0,,,
CAN,1895,0.4,,,3387.0
CHE,1895,0.3,,,2123.0
CHL,1895,0.3,,,
CHN,1895,0.0,,,
CIV,1895,0.0,,,
CMR,1895,0.0,,,
COD,1895,0.0,,,
COL,1895,0.2,,,
CRI,1895,0.0,,,
CUB,1895,0.1,,,
CYP,1895,0.0,,,
CZE,1895,0.3,,,
DEU,1895,0.7,,,15063.0
DNK,1895,0.1,,,987.0
DOM,1895,0.0,,,
DZA,1895,0.1,,,
ECU,1895,0.0,,,
EGY,1895,0.0,,,
ESP,1895,0.4,,,1706.0
EUR,1895,0.3611036,,,
FIN,1895,0.4,,,
FJI,1895,0.0,,,
FRA,1895,0.3,,,10549.0
GBR,1895,0.5,,,16474.0
GBR,1895,0.5,,,8591.0
GHA,1895,0.0,,,
GMB,1895,0.0,,,
GRC,1895,0.3,,,
GTM,1895,0.0,,,
GUY,1895,0.0,,,
HKG,1895,0.0,,,
HND,1895,0.0,,,
HTI,1895,0.0,,,
HUN,1895,0.3,,,2936.0
IDN,1895,0.0,,,
IND,1895,0.0,,,179.0
IND,1895,0.0,,,238.0
IRL,1895,0.1,,,
IRN,1895,0.0,,,
IRQ,1895,0.0,,,
ISL,1895,0.0,,,
ITA,1895,0.4,,,2573.0
JAM,1895,0.0,,,
JOR,1895,0.0,,,
JPN,1895,0.1,,,1122.0
KEN,1895,0.0,,,
KHM,1895,0.0,,,
