COUNTRYCODE,YEAR,MERCHANDISEEXPORTGDPSHARE
ARG,1991,7.65349
ARG,1992,5.6655
ARG,1993,5.76502
ARG,1994,6.49645
ARG,1995,8.29102
ARG,1996,9.11852
ARG,1997,9.08848
ARG,1998,9.12288
ARG,1999,8.60348
ARG,2000,9.57567
ARG,2001,10.47025
ARG,2002,28.16442
ARG,2003,25.16316
ARG,2004,21.41659
ARG,2005,20.08573
ARG,2006,18.83837
ARG,2007,18.94835
ARG,2008,19.60466
ARG,2009,15.74389
ARG,2010,15.33964
ARG,2011,15.38905
ARG,2012,14.14788
ARG,2013,13.17487
ARG,2014,13.49257
ARM,1993,14.25623
ARM,1994,18.37885
ARM,1995,24.30864
ARM,1996,18.17913
ARM,1997,15.21879
ARM,1998,11.64455
ARM,1999,12.5533
ARM,2000,15.71949
ARM,2001,16.12637
ARM,2002,21.22903
ARM,2003,24.42409
ARM,2004,20.21215
ARM,2005,19.87404
ARM,2006,15.4298
ARM,2007,12.51643
ARM,2008,9.06497
ARM,2009,8.06886
ARM,2010,11.24209
ARM,2011,13.15643
ARM,2012,13.44832
ARM,2013,13.30787
ARM,2014,13.46885
ABW,1994,45.39219
ABW,1995,43.07974
ABW,1996,54.51194
ABW,1997,59.01137
ABW,1998,37.84068
ABW,1999,51.43784
ABW,2000,102.82938
ABW,2001,66.85589
ABW,2002,49.96346
ABW,2003,66.4341
ABW,2004,111.86023
ABW,2005,171.8452
ABW,2006,173.39919
ABW,2007,168.17671
ABW,2008,197.21721
ABW,2009,85.00773
ABW,2010,11.57218
ABW,2011,165.63631
ASI,1960,8.99308
ASI,1961,8.63701
ASI,1962,9.23253
ASI,1963,9.09317
ASI,1964,8.67927
ASI,1965,8.78644
ASI,1966,9.14567
ASI,1967,8.85132
ASI,1968,9.36808
ASI,1969,9.43114
ASI,1970,9.33868
ASI,1971,10.39208
ASI,1972,10.63673
ASI,1973,11.69807
ASI,1974,17.92158
ASI,1975,16.24784
ASI,1976,17.70043
ASI,1977,17.05158
ASI,1978,15.57958
ASI,1979,17.18967
ASI,1980,20.7825
ASI,1981,20.40757
ASI,1982,19.10809
ASI,1983,17.02944
ASI,1984,17.48644
ASI,1985,16.47281
ASI,1986,13.76749
ASI,1987,14.45696
ASI,1988,14.49554
ASI,1989,15.571
ASI,1990,16.34021
ASI,1991,16.31112
ASI,1992,16.67298
ASI,1993,16.57572
ASI,1994,17.16073
ASI,1995,17.84544
ASI,1996,19.10438
ASI,1997,20.139
ASI,1998,20.43243
ASI,1999,20.07367
ASI,2000,22.41082
ASI,2001,22.44896
ASI,2002,23.45706
ASI,2003,25.34925
ASI,2004,28.4719
ASI,2005,30.62471
ASI,2006,33.13511
ASI,2007,33.52228
ASI,2008,34.38118
ASI,2009,26.79073
ASI,2010,29.18229
ASI,2011,30.07841
ASI,2012,29.25295
ASI,2013,29.16032
ASI,2014,28.77137
AUS,1827,6.66667
AUS,1828,5.88235
AUS,1829,10.52632
AUS,1830,9.09091
AUS,1831,17.3913
AUS,1832,20.83333
AUS,1833,17.85714
AUS,1834,21.05263
AUS,1835,17.64706
AUS,1836,18.86792
AUS,1837,17.85714
AUS,1838,18.64407
AUS,1839,14.28571
AUS,1840,17.44186
AUS,1841,18.57143
AUS,1842,20.63492
AUS,1843,22.0339
AUS,1844,20.96774
AUS,1845,23.61111
AUS,1846,22.22222
AUS,1847,25.5814
AUS,1848,22.77228
AUS,1849,23.76238
AUS,1850,23.07692
AUS,1851,19.70803
AUS,1852,36.09272
AUS,1853,32.72727
AUS,1854,26.93798
AUS,1855,29.66601
AUS,1856,31.27413
AUS,1857,29.37956
AUS,1858,25.88652
AUS,1859,27.82324
AUS,1860,25.31447
AUS,1861,26.97674
AUS,1862,26.63552
AUS,1863,29.47702
AUS,1864,28.61539
AUS,1865,29.46565
AUS,1866,27.42616
AUS,1867,24.65181
AUS,1868,26.53595
AUS,1869,25.91623
AUS,1870,22.52142
AUS,1871,29.20918
AUS,1872,28.09829
AUS,1873,22.75229
AUS,1874,24.36364
AUS,1875,21.76471
AUS,1876,21.69492
AUS,1877,21.25
AUS,1878,19.84127
AUS,1879,17.2093
AUS,1880,22.16418
AUS,1881,18.94366
AUS,1882,19.39189
AUS,1883,19.09091
AUS,1884,17.03704
AUS,1885,15.20231
AUS,1886,12.23529
AUS,1887,12.45791
AUS,1888,14.9741
AUS,1889,13.94009
AUS,1890,14.23366
AUS,1891,17.75495
AUS,1892,19.51479
AUS,1893,21.71586
AUS,1894,21.71021
AUS,1895,23.86123
AUS,1896,20.6022
AUS,1897,24.6945
AUS,1898,22.56439
AUS,1899,26.85029
AUS,1900,24.31581
AUS,1901,26.15588
AUS,1902,19.82031
AUS,1903,22.75503
AUS,1904,25.73816
AUS,1905,25.72845
AUS,1906,29.18853
AUS,1907,26.50653
AUS,1908,23.72225
AUS,1909,21.90304
AUS,1910,22.99431
AUS,1911,22.163
AUS,1912,20.63767
AUS,1913,18.69219
AUS,1914,13.6401
AUS,1915,17.43579
AUS,1916,19.84991
AUS,1917,15.44728
AUS,1918,20.09126
AUS,1919,29.50023
AUS,1920,21.41565
AUS,1921,16.70153
AUS,1922,15.79928
AUS,1923,15.40759
AUS,1924,18.15099
AUS,1925,16.1771
AUS,1926,15.6386
AUS,1927,15.63253
AUS,1928,15.9715
AUS,1929,11.19576
AUS,1930,10.03972
AUS,1931,18.01373
AUS,1932,19.86253
AUS,1933,19.51432
AUS,1934,21.09182
AUS,1935,18.29883
AUS,1936,19.81251
AUS,1937,21.64508
AUS,1938,19.21968
AUS,1939,16.97236
AUS,1940,19.03369
AUS,1941,15.73427
AUS,1942,16.03215
AUS,1943,11.03059
AUS,1944,12.66081
AUS,1945,13.62927
AUS,1946,16.78024
AUS,1947,24.73174
AUS,1948,26.90473
AUS,1949,24.73483
AUS,1950,28.56782
AUS,1951,28.26716
AUS,1952,20.51937
AUS,1953,21.28563
AUS,1954,16.14516
AUS,1955,17.25151
AUS,1956,16.42535
AUS,1957,17.80514
AUS,1958,12.54624
AUS,1959,14.19228
AUS,1960,10.8851
AUS,1961,11.90211
AUS,1962,11.66393
AUS,1963,12.87599
AUS,1964,12.5166
AUS,1965,11.26298
AUS,1966,11.61115
AUS,1967,11.48475
AUS,1968,10.77111
AUS,1969,11.51384
AUS,1970,11.65536
AUS,1971,12.04573
AUS,1972,12.9413
AUS,1973,15.0353
AUS,1974,13.02142
AUS,1975,12.30499
AUS,1976,12.98801
AUS,1977,12.50431
AUS,1978,13.05648
AUS,1979,14.57344
AUS,1980,15.18879
AUS,1981,13.61637
AUS,1982,12.52422
AUS,1983,12.33253
AUS,1984,13.03355
AUS,1985,14.36916
AUS,1986,14.00897
AUS,1987,15.30937
AUS,1988,14.88482
AUS,1989,13.32485
AUS,1990,13.60011
AUS,1991,13.24337
AUS,1992,13.43908
AUS,1993,13.84326
AUS,1994,15.15773
AUS,1995,14.86179
AUS,1996,15.36616
AUS,1997,14.49724
AUS,1998,14.02628
AUS,1999,14.47086
AUS,2000,15.42298
AUS,2001,17.16881
AUS,2002,16.54561
AUS,2003,15.20424
AUS,2004,14.63884
AUS,2005,15.70719
AUS,2006,17.06393
AUS,2007,17.22368
AUS,2008,18.22655
AUS,2009,17.46909
AUS,2010,18.52895
AUS,2011,19.48351
AUS,2012,16.74795
AUS,2013,16.21195
AUS,2014,16.88212
AUT,1925,19.29914
AUT,1926,16.97403
AUT,1927,18.89398
AUT,1928,19.2594
AUT,1929,18.35896
AUT,1930,16.25964
AUT,1931,12.80655
AUT,1932,8.23497
AUT,1933,7.1306
AUT,1934,7.64328
AUT,1935,7.86125
AUT,1936,8.36848
AUT,1937,12.39308
AUT,1948,6.0994
AUT,1949,8.08327
AUT,1950,11.5815
AUT,1951,13.80697
AUT,1952,13.40482
AUT,1953,15.76996
AUT,1954,16.85278
AUT,1955,17.13959
AUT,1956,18.46656
AUT,1957,18.29041
AUT,1958,17.44526
AUT,1959,17.26027
AUT,1960,16.96879
AUT,1961,16.41194
AUT,1962,16.26202
AUT,1963,15.79021
AUT,1964,15.69141
AUT,1965,15.96547
AUT,1966,15.45416
AUT,1967,15.62944
AUT,1968,15.99518
AUT,1969,17.75702
AUT,1970,18.57593
AUT,1971,17.75837
AUT,1972,17.60573
AUT,1973,17.92533
AUT,1974,20.38792
AUT,1975,18.80103
AUT,1976,19.83162
AUT,1977,19.06262
AUT,1978,19.70203
AUT,1979,20.97339
AUT,1980,21.35602
AUT,1981,23.47148
AUT,1982,22.99885
AUT,1983,22.98641
AUT,1984,24.62689
AUT,1985,26.29609
AUT,1986,23.65836
AUT,1987,23.09106
AUT,1988,24.53775
AUT,1989,25.82201
AUT,1990,25.33664
AUT,1991,24.70409
AUT,1992,23.63032
AUT,1993,22.90169
AUT,1994,23.17926
AUT,1995,23.93405
AUT,1996,24.42941
AUT,1997,27.64099
AUT,1998,28.21788
AUT,1999,30.43231
AUT,2000,34.34234
AUT,2001,35.91876
AUT,2002,36.86658
AUT,2003,37.27357
AUT,2004,39.45878
AUT,2005,39.73094
AUT,2006,40.93993
AUT,2007,42.38588
AUT,2008,42.50026
AUT,2009,34.47912
AUT,2010,38.20161
AUT,2011,41.04068
AUT,2012,40.93461
AUT,2013,41.04978
AUT,2014,41.32315
AZE,1992,31.47946
AZE,1993,25.01206
AZE,1994,19.76619
AZE,1995,20.80284
AZE,1996,19.83159
AZE,1997,19.6835
AZE,1998,13.60652
AZE,1999,20.27843
AZE,2000,33.09552
AZE,2001,40.5423
AZE,2002,34.75612
AZE,2003,35.62124
AZE,2004,41.64962
AZE,2005,57.74797
AZE,2006,62.0246
AZE,2007,64.3543
AZE,2008,62.6096
AZE,2009,47.63218
AZE,2010,50.04664
AZE,2011,52.30333
AZE,2012,47.10254
AZE,2013,43.1976
AZE,2014,39.09678
BHS,1960,7.26139
BHS,1961,7.15953
BHS,1962,7.82557
BHS,1963,5.34611
